id,student_id,login_at,logout_at,duration_seconds,active
432679b4-f2fe-430a-9109-419760810f17,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 05:55:18.026251,,,true
4388f52e-ec76-45b5-89c7-fd9fa946c712,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-12 06:22:29.976313,,,true
45dbcd3a-d71a-41a6-819c-6cf681076f19,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-14 03:05:51.539766,,,true
47657320-0eed-4217-9da4-dce9f80a5ea4,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 05:45:24.060766,,,true
49dcd63b-950c-436c-957f-ab6494322ad8,b3fd9bd7-d975-4922-b6a8-e588e4c0f5ad,2026-05-18 19:07:07.719087,,,true
4e8b5d42-e890-4d86-ba15-4267a80ba7d7,fb60c9a7-813e-4397-b185-20ab9bce2c3c,2026-05-20 19:50:31.827371,,,true
52f8e6ab-8e16-43b9-a64c-3eae8758c3ff,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-13 04:12:06.463287,,,true
5313c282-8236-4e5a-9189-0ea6f6a1e46e,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:06:18.059141,,,true
54962997-d29a-46cc-bf6f-478f80196035,761f8bff-82b6-420c-aaf0-d00b8f193205,2026-05-22 05:48:48.296642,,,true
5566d62d-73dd-41f2-9692-b8a430fde17e,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:16:34.694633,2026-05-20 04:16:34.406,0,false
5a167f5c-58c1-49f7-b37a-dcc80e104fe3,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:52:52.484288,,,true
5a4a845d-d5d6-462b-9106-e252c2f60151,0d742029-1e08-45ed-9edc-2fc43d544633,2026-05-21 03:32:56.514843,,,true
5a6adec1-c43b-475f-8af2-35eb7eb6f9de,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-12 14:39:01.329003,,,true
5ca09199-450f-4681-a3d5-7903d5c5ba2a,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 16:22:38.801841,2026-05-20 16:23:13.725,34,false
5d5a6ceb-39e6-4c7e-823c-e165080fa605,e67fb5bd-9bbf-4ffc-9b26-20767063beab,2026-05-13 15:54:12.517733,2026-05-13 15:54:14.651,2,false
62a08654-e225-41fb-98d6-099d821c9624,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 04:05:58.768428,,,true
63063b2b-6435-49ff-9630-fcb5f6297a09,e743d197-a48b-47d5-95e6-45dc978cc348,2026-05-25 14:35:55.127257,,,true
64af114d-b030-42ae-aa10-491f2fa5a411,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-14 02:39:51.862481,,,true
65af1cc3-e3e7-4093-a1cd-ad6450d6e233,89ee0f3c-ffb5-4f85-acd1-a7658abc09f6,2026-05-13 16:52:27.210299,,,true
65ef5f0f-8447-4b20-83ad-33617b43643b,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:26:21.289908,2026-05-20 03:31:19.631,0,false
6730709c-d936-44a7-ab82-4159612ccc55,d39a8b6c-74a4-4a8b-ac38-6ceb71b4354d,2026-05-25 14:09:20.590298,,,true
6a36935d-c9e5-4b71-9c1b-560e47d64b09,2f0365ea-a5ff-4b29-a672-2d9f2e9d73e8,2026-06-05 03:03:36.28022,2026-06-05 03:03:39.333,3,false
6c2ab06b-f4c8-44e7-9c71-d4fa7b59dd92,b3fd9bd7-d975-4922-b6a8-e588e4c0f5ad,2026-05-18 19:01:04.375552,,,true
6d6e3955-833b-4229-8be6-9389466787fb,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-19 02:20:19.166672,,,true
70393380-8847-4c04-9c21-8ee09d237cd8,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-14 02:33:48.073022,,,true
705dfa32-d592-4536-af03-3adf0ab28556,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:17:08.979805,2026-05-20 03:24:53.617,0,false
72338f76-ca8e-4537-a0b1-201dd6760f5f,c5129d74-1c0a-4067-b619-dfadbd918750,2026-05-26 13:46:33.197874,,,true
73142952-92ea-4f7f-b3c1-1fac7a4463de,34ec08ca-7564-4eca-b717-c1cdb2568607,2026-05-25 14:34:34.467219,,,true
747eda4c-a761-4c01-9654-ab513be40d72,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-12 14:43:08.659793,,,true
74b0105c-6dc3-40eb-a11d-de67ab3862a1,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-15 15:44:33.371374,,,true
759bcff2-8ae7-4b84-9004-0e570e09934e,59b885c5-a486-4521-a141-9b48cc0b7b3d,2026-05-20 03:43:57.551573,,,true
78ce1a2c-4c9e-42b1-8159-593150ef6091,bc524b28-e88b-4548-bbd3-f3babf00539f,2026-06-05 13:30:53.728655,,,true
